Jaccard index table that compares the baseline method with the four types of new methods.
b=0 stands for separating borders, b=1 stands for joining borders.
c=0 stands for using pixel vertices, c=1 stands for using pixel edges.

  ID  baseline  b=0 & c=0  b=1 & c=0  b=0 & c=1  b=1 & c=1
 568  0.416139   0.422934   0.420983   0.422934   0.421050
 324  0.414510   0.609325   0.609818   0.609325   0.609949
 296  0.568404   0.591629   0.590715   0.591629   0.590894
 297  0.453357   0.509724   0.507406   0.509724   0.507265
 713  0.549347   0.512417   0.509248   0.512417   0.509125
 307  0.446080   0.517543   0.514866   0.517543   0.514932
 578  0.371293   0.431944   0.428423   0.431944   0.428857
 209  0.411569   0.561911   0.557322   0.561911   0.557194
 110  0.493427   0.573888   0.572720   0.573888   0.572468
 323  0.285481   0.455024   0.457089   0.455024   0.456766
 107  0.620172   0.627506   0.626692   0.627506   0.626833
 651  0.502698   0.591231   0.588617   0.591231   0.588338
 109  0.559465   0.576583   0.573332   0.576583   0.573040
 108  0.616411   0.597209   0.593737   0.597209   0.593930
